Text Collection,# of Positive Labeled Documents,α,C,F1 Score
oh10,30,0.2,1000,0.2884
oh10,30,0.4,0.1,0.5400
oh10,30,0.4,1,0.2847
oh10,30,0.4,10,0.2854
oh10,30,0.4,100,0.2854
oh10,30,0.4,1000,0.2854
oh10,30,0.6,0.1,0.5400
oh10,30,0.6,1,0.2847
oh10,30,0.6,10,0.2854
oh10,30,0.6,100,0.2854
oh10,30,0.6,1000,0.2854
oh10,30,0.8,0.1,0.4639
oh10,30,0.8,1,0.2843
oh10,30,0.8,10,0.2884
oh10,30,0.8,100,0.2884
oh10,30,0.8,1000,0.2884
oh10,30,1.0,0.1,0.3956
oh10,30,1.0,1,0.2785
oh10,30,1.0,10,0.2790
oh10,30,1.0,100,0.2790
oh10,30,1.0,1000,0.2790
oh10,5,0.2,0.1,0.0473
oh10,5,0.2,1,0.0139
oh10,5,0.2,10,0.0139
oh10,5,0.2,100,0.0139
oh10,5,0.2,1000,0.0139
oh10,5,0.4,0.1,0.1072
oh10,5,0.4,1,0.0138
oh10,5,0.4,10,0.0139
oh10,5,0.4,100,0.0139
oh10,5,0.4,1000,0.0139
oh10,5,0.6,0.1,0.1072
oh10,5,0.6,1,0.0138
oh10,5,0.6,10,0.0139
oh10,5,0.6,100,0.0139
oh10,5,0.6,1000,0.0139
oh10,5,0.8,0.1,0.0473
oh10,5,0.8,1,0.0139
oh10,5,0.8,10,0.0139
oh10,5,0.8,100,0.0139
oh10,5,0.8,1000,0.0139
oh10,5,1.0,0.1,0.0080
oh10,5,1.0,1,0.0112
oh10,5,1.0,10,0.0116
oh10,5,1.0,100,0.0116
oh10,5,1.0,1000,0.0116
oh15,1,0.2,0.1,0.0028
oh15,1,0.2,1,0.0010
oh15,1,0.2,10,0.0010
oh15,1,0.2,100,0.0010
oh15,1,0.2,1000,0.0010
oh15,1,0.4,0.1,0.0047
oh15,1,0.4,1,0.0010
oh15,1,0.4,10,0.0010
oh15,1,0.4,100,0.0010
oh15,1,0.4,1000,0.0010
oh15,1,0.6,0.1,0.0047
oh15,1,0.6,1,0.0010
oh15,1,0.6,10,0.0010
oh15,1,0.6,100,0.0010
oh15,1,0.6,1000,0.0010
oh15,1,0.8,0.1,0.0028
oh15,1,0.8,1,0.0010
oh15,1,0.8,10,0.0010
oh15,1,0.8,100,0.0010
oh15,1,0.8,1000,0.0010
oh15,1,1.0,0.1,0.0008
oh15,1,1.0,1,0.0014
oh15,1,1.0,10,0.0014
oh15,1,1.0,100,0.0014
oh15,1,1.0,1000,0.0014
oh15,10,0.2,0.1,0.1190
