Text Collection,# of Positive Labeled Documents,k,One Class Learning Threshold,F1 Score
oh5,5,11,0.80,0.0002
oh5,5,11,0.85,0.0000
oh5,5,11,0.90,0.0000
oh5,5,11,0.95,0.0000
oh5,5,11,average+1sigma,0.0000
oh5,5,11,average+2sigma,0.0000
oh5,5,11,average+3sigma,0.0000
oh5,5,11,average-1sigma,0.0002
oh5,5,11,average-2sigma,0.0029
oh5,5,11,average-3sigma,0.0279
oh5,5,11,average,0.0002
oh5,5,11,minimum,0.0109
oh5,5,13,0.05,0.4182
oh5,5,13,0.10,0.5388
oh5,5,13,0.15,0.4380
oh5,5,13,0.20,0.3038
oh5,5,13,0.25,0.1904
oh5,5,13,0.30,0.1148
oh5,5,13,0.35,0.0711
oh5,5,13,0.40,0.0461
oh5,5,13,0.45,0.0253
oh5,5,13,0.50,0.0160
oh5,5,13,0.55,0.0121
oh5,5,13,0.60,0.0044
oh5,5,13,0.65,0.0021
oh5,5,13,0.70,0.0002
oh5,5,13,0.75,0.0002
oh5,5,13,0.80,0.0002
oh5,5,13,0.85,0.0000
oh5,5,13,0.90,0.0000
oh5,5,13,0.95,0.0000
oh5,5,13,average+1sigma,0.0000
oh5,5,13,average+2sigma,0.0000
oh5,5,13,average+3sigma,0.0000
oh5,5,13,average-1sigma,0.0002
oh5,5,13,average-2sigma,0.0029
oh5,5,13,average-3sigma,0.0279
oh5,5,13,average,0.0002
oh5,5,13,minimum,0.0109
oh5,5,15,0.05,0.4182
oh5,5,15,0.10,0.5388
oh5,5,15,0.15,0.4380
oh5,5,15,0.20,0.3038
oh5,5,15,0.25,0.1904
oh5,5,15,0.30,0.1148
oh5,5,15,0.35,0.0711
oh5,5,15,0.40,0.0461
oh5,5,15,0.45,0.0253
oh5,5,15,0.50,0.0160
oh5,5,15,0.55,0.0121
oh5,5,15,0.60,0.0044
oh5,5,15,0.65,0.0021
oh5,5,15,0.70,0.0002
oh5,5,15,0.75,0.0002
oh5,5,15,0.80,0.0002
oh5,5,15,0.85,0.0000
oh5,5,15,0.90,0.0000
oh5,5,15,0.95,0.0000
oh5,5,15,average+1sigma,0.0000
oh5,5,15,average+2sigma,0.0000
oh5,5,15,average+3sigma,0.0000
oh5,5,15,average-1sigma,0.0002
oh5,5,15,average-2sigma,0.0029
oh5,5,15,average-3sigma,0.0279
oh5,5,15,average,0.0002
oh5,5,15,minimum,0.0109
oh5,5,17,0.05,0.4182
oh5,5,17,0.10,0.5388
oh5,5,17,0.15,0.4380
oh5,5,17,0.20,0.3038
oh5,5,17,0.25,0.1904
oh5,5,17,0.30,0.1148
oh5,5,17,0.35,0.0711
oh5,5,17,0.40,0.0461
oh5,5,17,0.45,0.0253
oh5,5,17,0.50,0.0160
oh5,5,17,0.55,0.0121
oh5,5,17,0.60,0.0044
oh5,5,17,0.65,0.0021
oh5,5,17,0.70,0.0002
oh5,5,17,0.75,0.0002
oh5,5,17,0.80,0.0002
oh5,5,17,0.85,0.0000
oh5,5,17,0.90,0.0000
oh5,5,17,0.95,0.0000
oh5,5,17,average+1sigma,0.0000
oh5,5,17,average+2sigma,0.0000
oh5,5,17,average+3sigma,0.0000
oh5,5,17,average-1sigma,0.0002
oh5,5,17,average-2sigma,0.0029
oh5,5,17,average-3sigma,0.0279
oh5,5,17,average,0.0002
oh5,5,17,minimum,0.0109
oh5,5,19,0.05,0.4182
oh5,5,19,0.10,0.5388
oh5,5,19,0.15,0.4380
oh5,5,19,0.20,0.3038
oh5,5,19,0.25,0.1904
oh5,5,19,0.30,0.1148
oh5,5,19,0.35,0.0711
oh5,5,19,0.40,0.0461
oh5,5,19,0.45,0.0253
oh5,5,19,0.50,0.0160
oh5,5,19,0.55,0.0121
oh5,5,19,0.60,0.0044
oh5,5,19,0.65,0.0021
oh5,5,19,0.70,0.0002
oh5,5,19,0.75,0.0002
oh5,5,19,0.80,0.0002
oh5,5,19,0.85,0.0000
oh5,5,19,0.90,0.0000
oh5,5,19,0.95,0.0000
oh5,5,19,average+1sigma,0.0000
oh5,5,19,average+2sigma,0.0000
oh5,5,19,average+3sigma,0.0000
oh5,5,19,average-1sigma,0.0002
oh5,5,19,average-2sigma,0.0029
oh5,5,19,average-3sigma,0.0279
oh5,5,19,average,0.0002
oh5,5,19,minimum,0.0109
oh5,5,1,0.05,0.4778
oh5,5,1,0.10,0.5925
oh5,5,1,0.15,0.4364
oh5,5,1,0.20,0.2586
oh5,5,1,0.25,0.1257
oh5,5,1,0.30,0.0552
oh5,5,1,0.35,0.0250
oh5,5,1,0.40,0.0105
oh5,5,1,0.45,0.0044
oh5,5,1,0.50,0.0019
oh5,5,1,0.55,0.0000
oh5,5,1,0.60,0.0000
oh5,5,1,0.65,0.0000
oh5,5,1,0.70,0.0000
oh5,5,1,0.75,0.0000
oh5,5,1,0.80,0.0000
oh5,5,1,0.85,0.0000
oh5,5,1,0.90,0.0000
oh5,5,1,0.95,0.0000
oh5,5,1,average+1sigma,0.0008
oh5,5,1,average+2sigma,0.0000
oh5,5,1,average+3sigma,0.0000
oh5,5,1,average-1sigma,0.0058
oh5,5,1,average-2sigma,0.0148
oh5,5,1,average-3sigma,0.0475
oh5,5,1,average,0.0025
oh5,5,1,minimum,0.0344
oh5,5,3,0.05,0.4389
oh5,5,3,0.10,0.5536
oh5,5,3,0.15,0.4376
oh5,5,3,0.20,0.2837
oh5,5,3,0.25,0.1670
oh5,5,3,0.30,0.0973
oh5,5,3,0.35,0.0569
oh5,5,3,0.40,0.0323
oh5,5,3,0.45,0.0175
oh5,5,3,0.50,0.0103
oh5,5,3,0.55,0.0052
oh5,5,3,0.60,0.0015
oh5,5,3,0.65,0.0009
oh5,5,3,0.70,0.0002
oh5,5,3,0.75,0.0000
oh5,5,3,0.80,0.0000
oh5,5,3,0.85,0.0000
oh5,5,3,0.90,0.0000
oh5,5,3,0.95,0.0000
oh5,5,3,average+1sigma,0.0000
oh5,5,3,average+2sigma,0.0000
oh5,5,3,average+3sigma,0.0000
oh5,5,3,average-1sigma,0.0016
oh5,5,3,average-2sigma,0.0080
oh5,5,3,average-3sigma,0.0378
oh5,5,3,average,0.0002
oh5,5,3,minimum,0.0167
oh5,5,5,0.05,0.4182
oh5,5,5,0.10,0.5388
oh5,5,5,0.15,0.4380
oh5,5,5,0.20,0.3038
oh5,5,5,0.25,0.1904
oh5,5,5,0.30,0.1148
oh5,5,5,0.35,0.0711
oh5,5,5,0.40,0.0461
oh5,5,5,0.45,0.0253
oh5,5,5,0.50,0.0160
oh5,5,5,0.55,0.0121
oh5,5,5,0.60,0.0044
oh5,5,5,0.65,0.0021
oh5,5,5,0.70,0.0002
oh5,5,5,0.75,0.0002
oh5,5,5,0.80,0.0002
oh5,5,5,0.85,0.0000
oh5,5,5,0.90,0.0000
oh5,5,5,0.95,0.0000
oh5,5,5,average+1sigma,0.0000
oh5,5,5,average+2sigma,0.0000
oh5,5,5,average+3sigma,0.0000
oh5,5,5,average-1sigma,0.0002
oh5,5,5,average-2sigma,0.0029
oh5,5,5,average-3sigma,0.0279
oh5,5,5,average,0.0002
oh5,5,5,minimum,0.0109
oh5,5,7,0.05,0.4182
oh5,5,7,0.10,0.5388
oh5,5,7,0.15,0.4380
oh5,5,7,0.20,0.3038
oh5,5,7,0.25,0.1904
oh5,5,7,0.30,0.1148
oh5,5,7,0.35,0.0711
oh5,5,7,0.40,0.0461
oh5,5,7,0.45,0.0253
oh5,5,7,0.50,0.0160
oh5,5,7,0.55,0.0121
oh5,5,7,0.60,0.0044
oh5,5,7,0.65,0.0021
oh5,5,7,0.70,0.0002
oh5,5,7,0.75,0.0002
oh5,5,7,0.80,0.0002
oh5,5,7,0.85,0.0000
oh5,5,7,0.90,0.0000
oh5,5,7,0.95,0.0000
oh5,5,7,average+1sigma,0.0000
oh5,5,7,average+2sigma,0.0000
oh5,5,7,average+3sigma,0.0000
oh5,5,7,average-1sigma,0.0002
oh5,5,7,average-2sigma,0.0029
oh5,5,7,average-3sigma,0.0279
oh5,5,7,average,0.0002
oh5,5,7,minimum,0.0109
oh5,5,9,0.05,0.4182
oh5,5,9,0.10,0.5388
oh5,5,9,0.15,0.4380
oh5,5,9,0.20,0.3038
oh5,5,9,0.25,0.1904
oh5,5,9,0.30,0.1148
oh5,5,9,0.35,0.0711
oh5,5,9,0.40,0.0461
oh5,5,9,0.45,0.0253
oh5,5,9,0.50,0.0160
oh5,5,9,0.55,0.0121
oh5,5,9,0.60,0.0044
oh5,5,9,0.65,0.0021
oh5,5,9,0.70,0.0002
oh5,5,9,0.75,0.0002
oh5,5,9,0.80,0.0002
oh5,5,9,0.85,0.0000
oh5,5,9,0.90,0.0000
oh5,5,9,0.95,0.0000
oh5,5,9,average+1sigma,0.0000
oh5,5,9,average+2sigma,0.0000
oh5,5,9,average+3sigma,0.0000
oh5,5,9,average-1sigma,0.0002
oh5,5,9,average-2sigma,0.0029
oh5,5,9,average-3sigma,0.0279
oh5,5,9,average,0.0002
oh5,5,9,minimum,0.0109
oh10,1,11,0.05,0.3623
oh10,1,11,0.10,0.2041
oh10,1,11,0.15,0.1079
oh10,1,11,0.20,0.0602
oh10,1,11,0.25,0.0369
oh10,1,11,0.30,0.0216
oh10,1,11,0.35,0.0134
oh10,1,11,0.40,0.0095
oh10,1,11,0.45,0.0066
oh10,1,11,0.50,0.0042
oh10,1,11,0.55,0.0030
oh10,1,11,0.60,0.0025
oh10,1,11,0.65,0.0002
oh10,1,11,0.70,0.0000
oh10,1,11,0.75,0.0000
oh10,1,11,0.80,0.0000
oh10,1,11,0.85,0.0000
oh10,1,11,0.90,0.0000
oh10,1,11,0.95,0.0000
oh10,1,11,average+1sigma,0.0000
oh10,1,11,average+2sigma,0.0000
oh10,1,11,average+3sigma,0.0000
oh10,1,11,average-1sigma,0.0000
oh10,1,11,average-2sigma,0.0000
oh10,1,11,average-3sigma,0.0000
oh10,1,11,average,0.0000
oh10,1,11,minimum,0.0000
oh10,1,13,0.05,0.3623
oh10,1,13,0.10,0.2041
oh10,1,13,0.15,0.1079
oh10,1,13,0.20,0.0602
oh10,1,13,0.25,0.0369
oh10,1,13,0.30,0.0216
oh10,1,13,0.35,0.0134
oh10,1,13,0.40,0.0095
oh10,1,13,0.45,0.0066
oh10,1,13,0.50,0.0042
oh10,1,13,0.55,0.0030
oh10,1,13,0.60,0.0025
oh10,1,13,0.65,0.0002
oh10,1,13,0.70,0.0000
oh10,1,13,0.75,0.0000
oh10,1,13,0.80,0.0000
oh10,1,13,0.85,0.0000
oh10,1,13,0.90,0.0000
oh10,1,13,0.95,0.0000
oh10,1,13,average+1sigma,0.0000
oh10,1,13,average+2sigma,0.0000
oh10,1,13,average+3sigma,0.0000
oh10,1,13,average-1sigma,0.0000
oh10,1,13,average-2sigma,0.0000
oh10,1,13,average-3sigma,0.0000
oh10,1,13,average,0.0000
oh10,1,13,minimum,0.0000
oh10,1,15,0.05,0.3623
oh10,1,15,0.10,0.2041
oh10,1,15,0.15,0.1079
oh10,1,15,0.20,0.0602
oh10,1,15,0.25,0.0369
oh10,1,15,0.30,0.0216
oh10,1,15,0.35,0.0134
oh10,1,15,0.40,0.0095
oh10,1,15,0.45,0.0066
oh10,1,15,0.50,0.0042
oh10,1,15,0.55,0.0030
oh10,1,15,0.60,0.0025
oh10,1,15,0.65,0.0002
oh10,1,15,0.70,0.0000
oh10,1,15,0.75,0.0000
oh10,1,15,0.80,0.0000
oh10,1,15,0.85,0.0000
oh10,1,15,0.90,0.0000
oh10,1,15,0.95,0.0000
oh10,1,15,average+1sigma,0.0000
oh10,1,15,average+2sigma,0.0000
oh10,1,15,average+3sigma,0.0000
oh10,1,15,average-1sigma,0.0000
oh10,1,15,average-2sigma,0.0000
oh10,1,15,average-3sigma,0.0000
oh10,1,15,average,0.0000
oh10,1,15,minimum,0.0000
oh10,1,17,0.05,0.3623
oh10,1,17,0.10,0.2041
oh10,1,17,0.15,0.1079
oh10,1,17,0.20,0.0602
oh10,1,17,0.25,0.0369
oh10,1,17,0.30,0.0216
oh10,1,17,0.35,0.0134
oh10,1,17,0.40,0.0095
oh10,1,17,0.45,0.0066
oh10,1,17,0.50,0.0042
oh10,1,17,0.55,0.0030
oh10,1,17,0.60,0.0025
oh10,1,17,0.65,0.0002
oh10,1,17,0.70,0.0000
oh10,1,17,0.75,0.0000
oh10,1,17,0.80,0.0000
oh10,1,17,0.85,0.0000
oh10,1,17,0.90,0.0000
oh10,1,17,0.95,0.0000
oh10,1,17,average+1sigma,0.0000
oh10,1,17,average+2sigma,0.0000
oh10,1,17,average+3sigma,0.0000
oh10,1,17,average-1sigma,0.0000
oh10,1,17,average-2sigma,0.0000
oh10,1,17,average-3sigma,0.0000
oh10,1,17,average,0.0000
oh10,1,17,minimum,0.0000
oh10,1,19,0.05,0.3623
oh10,1,19,0.10,0.2041
oh10,1,19,0.15,0.1079
oh10,1,19,0.20,0.0602
oh10,1,19,0.25,0.0369
oh10,1,19,0.30,0.0216
oh10,1,19,0.35,0.0134
oh10,1,19,0.40,0.0095
oh10,1,19,0.45,0.0066
oh10,1,19,0.50,0.0042
oh10,1,19,0.55,0.0030
oh10,1,19,0.60,0.0025
oh10,1,19,0.65,0.0002
oh10,1,19,0.70,0.0000
oh10,1,19,0.75,0.0000
oh10,1,19,0.80,0.0000
oh10,1,19,0.85,0.0000
oh10,1,19,0.90,0.0000
oh10,1,19,0.95,0.0000
oh10,1,19,average+1sigma,0.0000
oh10,1,19,average+2sigma,0.0000
oh10,1,19,average+3sigma,0.0000
oh10,1,19,average-1sigma,0.0000
oh10,1,19,average-2sigma,0.0000
oh10,1,19,average-3sigma,0.0000
oh10,1,19,average,0.0000
oh10,1,19,minimum,0.0000
oh10,1,1,0.05,0.3623
oh10,1,1,0.10,0.2041
oh10,1,1,0.15,0.1079
oh10,1,1,0.20,0.0602
oh10,1,1,0.25,0.0369
oh10,1,1,0.30,0.0216
oh10,1,1,0.35,0.0134
oh10,1,1,0.40,0.0095
oh10,1,1,0.45,0.0066
oh10,1,1,0.50,0.0042
oh10,1,1,0.55,0.0030
oh10,1,1,0.60,0.0025
oh10,1,1,0.65,0.0002
oh10,1,1,0.70,0.0000
oh10,1,1,0.75,0.0000
oh10,1,1,0.80,0.0000
oh10,1,1,0.85,0.0000
oh10,1,1,0.90,0.0000
oh10,1,1,0.95,0.0000
oh10,1,1,average+1sigma,0.0000
oh10,1,1,average+2sigma,0.0000
oh10,1,1,average+3sigma,0.0000
oh10,1,1,average-1sigma,0.0000
oh10,1,1,average-2sigma,0.0000
oh10,1,1,average-3sigma,0.0000
oh10,1,1,average,0.0000
oh10,1,1,minimum,0.0000
oh10,1,3,0.05,0.3623
oh10,1,3,0.10,0.2041
oh10,1,3,0.15,0.1079
oh10,1,3,0.20,0.0602
oh10,1,3,0.25,0.0369
oh10,1,3,0.30,0.0216
oh10,1,3,0.35,0.0134
oh10,1,3,0.40,0.0095
oh10,1,3,0.45,0.0066
oh10,1,3,0.50,0.0042
oh10,1,3,0.55,0.0030
oh10,1,3,0.60,0.0025
oh10,1,3,0.65,0.0002
oh10,1,3,0.70,0.0000
oh10,1,3,0.75,0.0000
oh10,1,3,0.80,0.0000
oh10,1,3,0.85,0.0000
oh10,1,3,0.90,0.0000
oh10,1,3,0.95,0.0000
oh10,1,3,average+1sigma,0.0000
oh10,1,3,average+2sigma,0.0000
oh10,1,3,average+3sigma,0.0000
oh10,1,3,average-1sigma,0.0000
oh10,1,3,average-2sigma,0.0000
oh10,1,3,average-3sigma,0.0000
oh10,1,3,average,0.0000
oh10,1,3,minimum,0.0000
oh10,1,5,0.05,0.3623
oh10,1,5,0.10,0.2041
oh10,1,5,0.15,0.1079
oh10,1,5,0.20,0.0602
oh10,1,5,0.25,0.0369
oh10,1,5,0.30,0.0216
oh10,1,5,0.35,0.0134
oh10,1,5,0.40,0.0095
oh10,1,5,0.45,0.0066
oh10,1,5,0.50,0.0042
oh10,1,5,0.55,0.0030
oh10,1,5,0.60,0.0025
oh10,1,5,0.65,0.0002
oh10,1,5,0.70,0.0000
oh10,1,5,0.75,0.0000
oh10,1,5,0.80,0.0000
oh10,1,5,0.85,0.0000
oh10,1,5,0.90,0.0000
oh10,1,5,0.95,0.0000
oh10,1,5,average+1sigma,0.0000
oh10,1,5,average+2sigma,0.0000
oh10,1,5,average+3sigma,0.0000
oh10,1,5,average-1sigma,0.0000
oh10,1,5,average-2sigma,0.0000
oh10,1,5,average-3sigma,0.0000
oh10,1,5,average,0.0000
oh10,1,5,minimum,0.0000
oh10,1,7,0.05,0.3623
oh10,1,7,0.10,0.2041
oh10,1,7,0.15,0.1079
oh10,1,7,0.20,0.0602
oh10,1,7,0.25,0.0369
oh10,1,7,0.30,0.0216
oh10,1,7,0.35,0.0134
oh10,1,7,0.40,0.0095
oh10,1,7,0.45,0.0066
oh10,1,7,0.50,0.0042
oh10,1,7,0.55,0.0030
oh10,1,7,0.60,0.0025
oh10,1,7,0.65,0.0002
oh10,1,7,0.70,0.0000
oh10,1,7,0.75,0.0000
oh10,1,7,0.80,0.0000
oh10,1,7,0.85,0.0000
oh10,1,7,0.90,0.0000
oh10,1,7,0.95,0.0000
oh10,1,7,average+1sigma,0.0000
oh10,1,7,average+2sigma,0.0000
oh10,1,7,average+3sigma,0.0000
oh10,1,7,average-1sigma,0.0000
oh10,1,7,average-2sigma,0.0000
oh10,1,7,average-3sigma,0.0000
oh10,1,7,average,0.0000
oh10,1,7,minimum,0.0000
oh10,1,9,0.05,0.3623
oh10,1,9,0.10,0.2041
oh10,1,9,0.15,0.1079
oh10,1,9,0.20,0.0602
oh10,1,9,0.25,0.0369
oh10,1,9,0.30,0.0216
oh10,1,9,0.35,0.0134
oh10,1,9,0.40,0.0095
oh10,1,9,0.45,0.0066
oh10,1,9,0.50,0.0042
oh10,1,9,0.55,0.0030
oh10,1,9,0.60,0.0025
oh10,1,9,0.65,0.0002
oh10,1,9,0.70,0.0000
oh10,1,9,0.75,0.0000
oh10,1,9,0.80,0.0000
oh10,1,9,0.85,0.0000
oh10,1,9,0.90,0.0000
oh10,1,9,0.95,0.0000
oh10,1,9,average+1sigma,0.0000
oh10,1,9,average+2sigma,0.0000
oh10,1,9,average+3sigma,0.0000
oh10,1,9,average-1sigma,0.0000
oh10,1,9,average-2sigma,0.0000
oh10,1,9,average-3sigma,0.0000
oh10,1,9,average,0.0000
oh10,1,9,minimum,0.0000
oh10,10,11,0.05,0.3382
oh10,10,11,0.10,0.5055
oh10,10,11,0.15,0.4696
oh10,10,11,0.20,0.3654
oh10,10,11,0.25,0.2495
oh10,10,11,0.30,0.1590
oh10,10,11,0.35,0.0997
oh10,10,11,0.40,0.0687
oh10,10,11,0.45,0.0466
oh10,10,11,0.50,0.0333
oh10,10,11,0.55,0.0205
oh10,10,11,0.60,0.0165
oh10,10,11,0.65,0.0030
oh10,10,11,0.70,0.0019
oh10,10,11,0.75,0.0013
oh10,10,11,0.80,0.0010
oh10,10,11,0.85,0.0000
oh10,10,11,0.90,0.0000
oh10,10,11,0.95,0.0000
oh10,10,11,average+1sigma,0.0000
oh10,10,11,average+2sigma,0.0000
oh10,10,11,average+3sigma,0.0000
oh10,10,11,average-1sigma,0.0024
oh10,10,11,average-2sigma,0.0034
oh10,10,11,average-3sigma,0.0067
oh10,10,11,average,0.0000
oh10,10,11,minimum,0.0372
oh10,10,13,0.05,0.3382
oh10,10,13,0.10,0.5055
oh10,10,13,0.15,0.4696
oh10,10,13,0.20,0.3654
oh10,10,13,0.25,0.2495
oh10,10,13,0.30,0.1590
oh10,10,13,0.35,0.0997
oh10,10,13,0.40,0.0687
oh10,10,13,0.45,0.0466
oh10,10,13,0.50,0.0333
oh10,10,13,0.55,0.0205
oh10,10,13,0.60,0.0165
oh10,10,13,0.65,0.0030
oh10,10,13,0.70,0.0019
oh10,10,13,0.75,0.0013
oh10,10,13,0.80,0.0010
oh10,10,13,0.85,0.0000
oh10,10,13,0.90,0.0000
oh10,10,13,0.95,0.0000
oh10,10,13,average+1sigma,0.0000
oh10,10,13,average+2sigma,0.0000
oh10,10,13,average+3sigma,0.0000
oh10,10,13,average-1sigma,0.0024
oh10,10,13,average-2sigma,0.0034
oh10,10,13,average-3sigma,0.0067
oh10,10,13,average,0.0000
oh10,10,13,minimum,0.0372
oh10,10,15,0.05,0.3382
oh10,10,15,0.10,0.5055
oh10,10,15,0.15,0.4696
oh10,10,15,0.20,0.3654
oh10,10,15,0.25,0.2495
oh10,10,15,0.30,0.1590
oh10,10,15,0.35,0.0997
oh10,10,15,0.40,0.0687
oh10,10,15,0.45,0.0466
oh10,10,15,0.50,0.0333
oh10,10,15,0.55,0.0205
oh10,10,15,0.60,0.0165
oh10,10,15,0.65,0.0030
oh10,10,15,0.70,0.0019
oh10,10,15,0.75,0.0013
oh10,10,15,0.80,0.0010
oh10,10,15,0.85,0.0000
oh10,10,15,0.90,0.0000
oh10,10,15,0.95,0.0000
oh10,10,15,average+1sigma,0.0000
oh10,10,15,average+2sigma,0.0000
oh10,10,15,average+3sigma,0.0000
oh10,10,15,average-1sigma,0.0024
oh10,10,15,average-2sigma,0.0034
oh10,10,15,average-3sigma,0.0067
oh10,10,15,average,0.0000
oh10,10,15,minimum,0.0372
oh10,10,17,0.05,0.3382
oh10,10,17,0.10,0.5055
oh10,10,17,0.15,0.4696
oh10,10,17,0.20,0.3654
oh10,10,17,0.25,0.2495
oh10,10,17,0.30,0.1590
oh10,10,17,0.35,0.0997
oh10,10,17,0.40,0.0687
oh10,10,17,0.45,0.0466
oh10,10,17,0.50,0.0333
oh10,10,17,0.55,0.0205
oh10,10,17,0.60,0.0165
oh10,10,17,0.65,0.0030
oh10,10,17,0.70,0.0019
oh10,10,17,0.75,0.0013
oh10,10,17,0.80,0.0010
oh10,10,17,0.85,0.0000
oh10,10,17,0.90,0.0000
oh10,10,17,0.95,0.0000
oh10,10,17,average+1sigma,0.0000
oh10,10,17,average+2sigma,0.0000
oh10,10,17,average+3sigma,0.0000
oh10,10,17,average-1sigma,0.0024
oh10,10,17,average-2sigma,0.0034
oh10,10,17,average-3sigma,0.0067
oh10,10,17,average,0.0000
oh10,10,17,minimum,0.0372
oh10,10,19,0.05,0.3382
oh10,10,19,0.10,0.5055
oh10,10,19,0.15,0.4696
oh10,10,19,0.20,0.3654
oh10,10,19,0.25,0.2495
oh10,10,19,0.30,0.1590
oh10,10,19,0.35,0.0997
oh10,10,19,0.40,0.0687
oh10,10,19,0.45,0.0466
oh10,10,19,0.50,0.0333
oh10,10,19,0.55,0.0205
oh10,10,19,0.60,0.0165
oh10,10,19,0.65,0.0030
oh10,10,19,0.70,0.0019
oh10,10,19,0.75,0.0013
oh10,10,19,0.80,0.0010
oh10,10,19,0.85,0.0000
oh10,10,19,0.90,0.0000
oh10,10,19,0.95,0.0000
oh10,10,19,average+1sigma,0.0000
oh10,10,19,average+2sigma,0.0000
oh10,10,19,average+3sigma,0.0000
oh10,10,19,average-1sigma,0.0024
oh10,10,19,average-2sigma,0.0034
oh10,10,19,average-3sigma,0.0067
oh10,10,19,average,0.0000
oh10,10,19,minimum,0.0372
oh10,10,1,0.05,0.3998
oh10,10,1,0.10,0.6006
oh10,10,1,0.15,0.5065
oh10,10,1,0.20,0.3414
oh10,10,1,0.25,0.1840
oh10,10,1,0.30,0.0832
oh10,10,1,0.35,0.0309
oh10,10,1,0.40,0.0109
oh10,10,1,0.45,0.0048
oh10,10,1,0.50,0.0007
oh10,10,1,0.55,0.0000
oh10,10,1,0.60,0.0000
oh10,10,1,0.65,0.0000
oh10,10,1,0.70,0.0000
oh10,10,1,0.75,0.0000
oh10,10,1,0.80,0.0000
oh10,10,1,0.85,0.0000
oh10,10,1,0.90,0.0000
oh10,10,1,0.95,0.0000
oh10,10,1,average+1sigma,0.0092
oh10,10,1,average+2sigma,0.0061
oh10,10,1,average+3sigma,0.0046
oh10,10,1,average-1sigma,0.0247
oh10,10,1,average-2sigma,0.0462
oh10,10,1,average-3sigma,0.0846
oh10,10,1,average,0.0140
oh10,10,1,minimum,0.2542
oh10,10,3,0.05,0.3847
oh10,10,3,0.10,0.5557
oh10,10,3,0.15,0.4786
oh10,10,3,0.20,0.3327
oh10,10,3,0.25,0.1982
oh10,10,3,0.30,0.1018
oh10,10,3,0.35,0.0543
oh10,10,3,0.40,0.0300
oh10,10,3,0.45,0.0184
oh10,10,3,0.50,0.0120
oh10,10,3,0.55,0.0067
oh10,10,3,0.60,0.0037
oh10,10,3,0.65,0.0010
oh10,10,3,0.70,0.0000
oh10,10,3,0.75,0.0000
oh10,10,3,0.80,0.0000
oh10,10,3,0.85,0.0000
oh10,10,3,0.90,0.0000
oh10,10,3,0.95,0.0000
oh10,10,3,average+1sigma,0.0029
oh10,10,3,average+2sigma,0.0007
oh10,10,3,average+3sigma,0.0007
oh10,10,3,average-1sigma,0.0114
oh10,10,3,average-2sigma,0.0200
oh10,10,3,average-3sigma,0.0520
oh10,10,3,average,0.0063
oh10,10,3,minimum,0.1084
oh10,10,5,0.05,0.3700
oh10,10,5,0.10,0.5310
oh10,10,5,0.15,0.4662
oh10,10,5,0.20,0.3345
oh10,10,5,0.25,0.2158
oh10,10,5,0.30,0.1260
oh10,10,5,0.35,0.0740
oh10,10,5,0.40,0.0417
oh10,10,5,0.45,0.0251
oh10,10,5,0.50,0.0152
oh10,10,5,0.55,0.0076
oh10,10,5,0.60,0.0045
oh10,10,5,0.65,0.0021
oh10,10,5,0.70,0.0018
oh10,10,5,0.75,0.0015
oh10,10,5,0.80,0.0005
oh10,10,5,0.85,0.0000
oh10,10,5,0.90,0.0000
oh10,10,5,0.95,0.0000
oh10,10,5,average+1sigma,0.0013
oh10,10,5,average+2sigma,0.0006
oh10,10,5,average+3sigma,0.0003
oh10,10,5,average-1sigma,0.0039
oh10,10,5,average-2sigma,0.0091
oh10,10,5,average-3sigma,0.0228
oh10,10,5,average,0.0019
oh10,10,5,minimum,0.0660
oh10,10,7,0.05,0.3532
oh10,10,7,0.10,0.5192
oh10,10,7,0.15,0.4731
oh10,10,7,0.20,0.3548
oh10,10,7,0.25,0.2353
oh10,10,7,0.30,0.1463
oh10,10,7,0.35,0.0898
oh10,10,7,0.40,0.0572
oh10,10,7,0.45,0.0361
oh10,10,7,0.50,0.0258
oh10,10,7,0.55,0.0159
oh10,10,7,0.60,0.0109
oh10,10,7,0.65,0.0017
oh10,10,7,0.70,0.0011
oh10,10,7,0.75,0.0008
oh10,10,7,0.80,0.0008
oh10,10,7,0.85,0.0000
oh10,10,7,0.90,0.0000
oh10,10,7,0.95,0.0000
oh10,10,7,average+1sigma,0.0005
oh10,10,7,average+2sigma,0.0001
oh10,10,7,average+3sigma,0.0001
oh10,10,7,average-1sigma,0.0015
oh10,10,7,average-2sigma,0.0114
oh10,10,7,average-3sigma,0.0269
oh10,10,7,average,0.0010
oh10,10,7,minimum,0.0661
oh10,10,9,0.05,0.3437
oh10,10,9,0.10,0.5095
oh10,10,9,0.15,0.4713
oh10,10,9,0.20,0.3574
oh10,10,9,0.25,0.2413
oh10,10,9,0.30,0.1549
oh10,10,9,0.35,0.0959
oh10,10,9,0.40,0.0643
oh10,10,9,0.45,0.0392
oh10,10,9,0.50,0.0262
oh10,10,9,0.55,0.0153
oh10,10,9,0.60,0.0088
oh10,10,9,0.65,0.0025
oh10,10,9,0.70,0.0013
oh10,10,9,0.75,0.0007
oh10,10,9,0.80,0.0007
oh10,10,9,0.85,0.0000
oh10,10,9,0.90,0.0000
oh10,10,9,0.95,0.0000
oh10,10,9,average+1sigma,0.0000
oh10,10,9,average+2sigma,0.0000
oh10,10,9,average+3sigma,0.0000
oh10,10,9,average-1sigma,0.0012
oh10,10,9,average-2sigma,0.0051
