Text Collection,Classifier (NB/EM),# of Positive Labeled Documents,α,λ,# of iterations (m),Weight of Unlabeled Documents in EM,F1 Score,Standard Deviation,Negative Precision
tr41,EM,10,0.99,0.7,1,0.5,0.1238,0.1160,0.9436
tr41,EM,10,0.99,0.7,1,0.7,0.1240,0.1155,0.9436
tr41,EM,10,0.99,0.7,1,0.9,0.1245,0.1150,0.9436
tr41,EM,10,0.99,0.7,2,0.1,0.1261,0.1197,0.9639
tr41,EM,10,0.99,0.7,2,0.3,0.1255,0.1195,0.9639
tr41,EM,10,0.99,0.7,2,0.5,0.1258,0.1193,0.9639
tr41,EM,10,0.99,0.7,2,0.7,0.1259,0.1194,0.9639
tr41,EM,10,0.99,0.7,2,0.9,0.1260,0.1195,0.9639
tr41,EM,10,0.99,0.7,3,0.1,0.1265,0.1195,0.9708
tr41,EM,10,0.99,0.7,3,0.3,0.1264,0.1190,0.9708
tr41,EM,10,0.99,0.7,3,0.5,0.1264,0.1188,0.9708
tr41,EM,10,0.99,0.7,3,0.7,0.1265,0.1188,0.9708
tr41,EM,10,0.99,0.7,3,0.9,0.1265,0.1188,0.9708
tr41,EM,10,0.99,0.8,1,0.1,0.1142,0.1241,0.9369
tr41,EM,10,0.99,0.8,1,0.3,0.1266,0.1126,0.9369
tr41,EM,10,0.99,0.8,1,0.5,0.1239,0.1131,0.9369
tr41,EM,10,0.99,0.8,1,0.7,0.1237,0.1127,0.9369
tr41,EM,10,0.99,0.8,1,0.9,0.1238,0.1119,0.9369
tr41,EM,10,0.99,0.8,2,0.1,0.1252,0.1187,0.9634
tr41,EM,10,0.99,0.8,2,0.3,0.1250,0.1187,0.9634
tr41,EM,10,0.99,0.8,2,0.5,0.1249,0.1186,0.9634
tr41,EM,10,0.99,0.8,2,0.7,0.1249,0.1186,0.9634
tr41,EM,10,0.99,0.8,2,0.9,0.1250,0.1186,0.9634
tr41,EM,10,0.99,0.8,3,0.1,0.1249,0.1187,0.9726
tr41,EM,10,0.99,0.8,3,0.3,0.1248,0.1188,0.9726
tr41,EM,10,0.99,0.8,3,0.5,0.1252,0.1187,0.9726
tr41,EM,10,0.99,0.8,3,0.7,0.1251,0.1186,0.9726
tr41,EM,10,0.99,0.8,3,0.9,0.1251,0.1185,0.9726
tr41,EM,20,0.99,0.6,1,0.1,0.1740,0.1375,0.9659
tr41,EM,20,0.99,0.6,1,0.3,0.1373,0.1188,0.9659
tr41,EM,20,0.99,0.6,1,0.5,0.1353,0.1181,0.9659
tr41,EM,20,0.99,0.6,1,0.7,0.1353,0.1173,0.9659
tr41,EM,20,0.99,0.6,1,0.9,0.1344,0.1168,0.9659
tr41,EM,20,0.99,0.6,2,0.1,0.1375,0.1210,0.9828
tr41,EM,20,0.99,0.6,2,0.3,0.1368,0.1205,0.9828
tr41,EM,20,0.99,0.6,2,0.5,0.1365,0.1204,0.9828
tr41,EM,20,0.99,0.6,2,0.7,0.1366,0.1203,0.9828
tr41,EM,20,0.99,0.6,2,0.9,0.1365,0.1203,0.9828
tr41,EM,20,0.99,0.6,3,0.1,0.1363,0.1209,0.9864
tr41,EM,20,0.99,0.6,3,0.3,0.1366,0.1202,0.9864
tr41,EM,20,0.99,0.6,3,0.5,0.1365,0.1201,0.9864
tr41,EM,20,0.99,0.6,3,0.7,0.1365,0.1199,0.9864
tr41,EM,20,0.99,0.6,3,0.9,0.1364,0.1196,0.9864
tr41,EM,20,0.99,0.7,1,0.1,0.2031,0.1227,0.9674
tr41,EM,20,0.99,0.7,1,0.3,0.1384,0.1214,0.9674
tr41,EM,20,0.99,0.7,1,0.5,0.1354,0.1202,0.9674
