Text Collection,Classifier (NB/EM),# of Positive Labeled Documents,α,λ,# of iterations (m),Weight of Unlabeled Documents in EM,F1 Score,Standard Deviation,Negative Precision
tr45,EM,1,0.99,0.8,1,0.9,0.0085,0.0178,0.9018
tr45,EM,1,0.99,0.8,2,0.1,0.0024,0.0073,0.9018
tr45,EM,1,0.99,0.8,2,0.3,0.0024,0.0073,0.9018
tr45,EM,1,0.99,0.8,2,0.5,0.0024,0.0073,0.9018
tr45,EM,1,0.99,0.8,2,0.7,0.0055,0.0112,0.9018
tr45,EM,1,0.99,0.8,2,0.9,0.0058,0.0112,0.9018
tr45,EM,1,0.99,0.8,3,0.1,0.0033,0.0091,0.9015
tr45,EM,1,0.99,0.8,3,0.3,0.0024,0.0073,0.9015
tr45,EM,1,0.99,0.8,3,0.5,0.0024,0.0073,0.9015
tr45,EM,1,0.99,0.8,3,0.7,0.0066,0.0130,0.9015
tr45,EM,1,0.99,0.8,3,0.9,0.0066,0.0130,0.9015
tr45,EM,5,0.99,0.6,1,0.1,0.0756,0.1747,0.9186
tr45,EM,5,0.99,0.6,1,0.3,0.0746,0.1723,0.9186
tr45,EM,5,0.99,0.6,1,0.5,0.0770,0.1722,0.9186
tr45,EM,5,0.99,0.6,1,0.7,0.0702,0.1672,0.9186
tr45,EM,5,0.99,0.6,1,0.9,0.0621,0.1510,0.9186
tr45,EM,5,0.99,0.6,2,0.1,0.0191,0.0511,0.9151
tr45,EM,5,0.99,0.6,2,0.3,0.0074,0.0242,0.9151
tr45,EM,5,0.99,0.6,2,0.5,0.0078,0.0212,0.9151
tr45,EM,5,0.99,0.6,2,0.7,0.0091,0.0216,0.9151
tr45,EM,5,0.99,0.6,2,0.9,0.0097,0.0214,0.9151
tr45,EM,5,0.99,0.6,3,0.1,0.0348,0.0720,0.9157
tr45,EM,5,0.99,0.6,3,0.3,0.0347,0.0706,0.9157
tr45,EM,5,0.99,0.6,3,0.5,0.0271,0.0614,0.9157
tr45,EM,5,0.99,0.6,3,0.7,0.0215,0.0443,0.9157
tr45,EM,5,0.99,0.6,3,0.9,0.0194,0.0368,0.9157
tr45,EM,5,0.99,0.7,1,0.1,0.0858,0.1883,0.9190
tr45,EM,5,0.99,0.7,1,0.3,0.0868,0.1921,0.9190
tr45,EM,5,0.99,0.7,1,0.5,0.0913,0.1959,0.9190
tr45,EM,5,0.99,0.7,1,0.7,0.0934,0.1965,0.9190
tr45,EM,5,0.99,0.7,1,0.9,0.0735,0.1686,0.9190
tr45,EM,5,0.99,0.7,2,0.1,0.0231,0.0565,0.9142
tr45,EM,5,0.99,0.7,2,0.3,0.0186,0.0497,0.9142
tr45,EM,5,0.99,0.7,2,0.5,0.0093,0.0240,0.9142
tr45,EM,5,0.99,0.7,2,0.7,0.0097,0.0223,0.9142
tr45,EM,5,0.99,0.7,2,0.9,0.0107,0.0222,0.9142
tr45,EM,5,0.99,0.7,3,0.1,0.0438,0.0850,0.9164
tr45,EM,5,0.99,0.7,3,0.3,0.0425,0.0845,0.9164
tr45,EM,5,0.99,0.7,3,0.5,0.0413,0.0805,0.9164
tr45,EM,5,0.99,0.7,3,0.7,0.0379,0.0724,0.9164
tr45,EM,5,0.99,0.7,3,0.9,0.0301,0.0556,0.9164
tr45,EM,5,0.99,0.8,1,0.1,0.0998,0.2167,0.9231
tr45,EM,5,0.99,0.8,1,0.3,0.0991,0.2144,0.9231
tr45,EM,5,0.99,0.8,1,0.5,0.0986,0.2083,0.9231
tr45,EM,5,0.99,0.8,1,0.7,0.1042,0.2078,0.9231
tr45,EM,5,0.99,0.8,1,0.9,0.1026,0.1968,0.9231
tr45,EM,5,0.99,0.8,2,0.1,0.0246,0.0525,0.9139
tr45,EM,5,0.99,0.8,2,0.3,0.0194,0.0409,0.9139
tr45,EM,5,0.99,0.8,2,0.5,0.0134,0.0341,0.9139
tr45,EM,5,0.99,0.8,2,0.7,0.0132,0.0278,0.9139
tr45,EM,5,0.99,0.8,2,0.9,0.0135,0.0276,0.9139
tr45,EM,5,0.99,0.8,3,0.1,0.0261,0.0509,0.9148
tr45,EM,5,0.99,0.8,3,0.3,0.0221,0.0458,0.9148
tr45,EM,5,0.99,0.8,3,0.5,0.0126,0.0285,0.9148
tr45,EM,5,0.99,0.8,3,0.7,0.0166,0.0326,0.9148
tr45,EM,5,0.99,0.8,3,0.9,0.0167,0.0331,0.9148
tr45,EM,10,0.99,0.6,1,0.1,0.1031,0.1873,0.9346
tr45,EM,10,0.99,0.6,1,0.3,0.1006,0.1829,0.9346
tr45,EM,10,0.99,0.6,1,0.5,0.1041,0.1860,0.9346
tr45,EM,10,0.99,0.6,1,0.7,0.1031,0.1738,0.9346
tr45,EM,10,0.99,0.6,1,0.9,0.1072,0.1774,0.9346
tr45,EM,10,0.99,0.6,2,0.1,0.0608,0.1354,0.9288
tr45,EM,10,0.99,0.6,2,0.3,0.0631,0.1442,0.9288
tr45,EM,10,0.99,0.6,2,0.5,0.0656,0.1578,0.9288
tr45,EM,10,0.99,0.6,2,0.7,0.0570,0.1420,0.9288
tr45,EM,10,0.99,0.6,2,0.9,0.0398,0.1026,0.9288
tr45,EM,10,0.99,0.6,3,0.1,0.0641,0.1331,0.9281
tr45,EM,10,0.99,0.6,3,0.3,0.0681,0.1393,0.9281
tr45,EM,10,0.99,0.6,3,0.5,0.0710,0.1413,0.9281
tr45,EM,10,0.99,0.6,3,0.7,0.0674,0.1367,0.9281
tr45,EM,10,0.99,0.6,3,0.9,0.0682,0.1413,0.9281
tr45,EM,10,0.99,0.7,1,0.1,0.0987,0.1755,0.9356
tr45,EM,10,0.99,0.7,1,0.3,0.0974,0.1739,0.9356
tr45,EM,10,0.99,0.7,1,0.5,0.0978,0.1719,0.9356
tr45,EM,10,0.99,0.7,1,0.7,0.0988,0.1713,0.9356
tr45,EM,10,0.99,0.7,1,0.9,0.0991,0.1713,0.9356
tr45,EM,10,0.99,0.7,2,0.1,0.0656,0.1334,0.9292
tr45,EM,10,0.99,0.7,2,0.3,0.0744,0.1592,0.9292
tr45,EM,10,0.99,0.7,2,0.5,0.0732,0.1651,0.9292
tr45,EM,10,0.99,0.7,2,0.7,0.0760,0.1672,0.9292
tr45,EM,10,0.99,0.7,2,0.9,0.0757,0.1673,0.9292
tr45,EM,10,0.99,0.7,3,0.1,0.0698,0.1315,0.9301
tr45,EM,10,0.99,0.7,3,0.3,0.0702,0.1350,0.9301
tr45,EM,10,0.99,0.7,3,0.5,0.0750,0.1377,0.9301
tr45,EM,10,0.99,0.7,3,0.7,0.0721,0.1343,0.9301
tr45,EM,10,0.99,0.7,3,0.9,0.0741,0.1337,0.9301
tr45,EM,10,0.99,0.8,1,0.1,0.1018,0.1662,0.9407
tr45,EM,10,0.99,0.8,1,0.3,0.1016,0.1662,0.9407
tr45,EM,10,0.99,0.8,1,0.5,0.1021,0.1654,0.9407
tr45,EM,10,0.99,0.8,1,0.7,0.1097,0.1628,0.9407
tr45,EM,10,0.99,0.8,1,0.9,0.1095,0.1616,0.9407
tr45,EM,10,0.99,0.8,2,0.1,0.0734,0.1533,0.9295
tr45,EM,10,0.99,0.8,2,0.3,0.0747,0.1584,0.9295
tr45,EM,10,0.99,0.8,2,0.5,0.0755,0.1670,0.9295
tr45,EM,10,0.99,0.8,2,0.7,0.0757,0.1679,0.9295
tr45,EM,10,0.99,0.8,2,0.9,0.0739,0.1621,0.9295
tr45,EM,10,0.99,0.8,3,0.1,0.0646,0.1287,0.9289
tr45,EM,10,0.99,0.8,3,0.3,0.0677,0.1386,0.9289
tr45,EM,10,0.99,0.8,3,0.5,0.0676,0.1393,0.9289
tr45,EM,10,0.99,0.8,3,0.7,0.0659,0.1326,0.9289
tr45,EM,10,0.99,0.8,3,0.9,0.0649,0.1335,0.9289
tr45,EM,20,0.99,0.6,1,0.1,0.1263,0.1413,0.9516
tr45,EM,20,0.99,0.6,1,0.3,0.1241,0.1450,0.9516
tr45,EM,20,0.99,0.6,1,0.5,0.1275,0.1466,0.9516
tr45,EM,20,0.99,0.6,1,0.7,0.1363,0.1422,0.9516
tr45,EM,20,0.99,0.6,1,0.9,0.1410,0.1437,0.9516
tr45,EM,20,0.99,0.6,2,0.1,0.0756,0.0965,0.9411
tr45,EM,20,0.99,0.6,2,0.3,0.0791,0.1004,0.9411
tr45,EM,20,0.99,0.6,2,0.5,0.0840,0.1050,0.9411
tr45,EM,20,0.99,0.6,2,0.7,0.0954,0.1050,0.9411
tr45,EM,20,0.99,0.6,2,0.9,0.0951,0.1042,0.9411
tr45,EM,20,0.99,0.6,3,0.1,0.0771,0.0887,0.9403
tr45,EM,20,0.99,0.6,3,0.3,0.0778,0.0957,0.9403
tr45,EM,20,0.99,0.6,3,0.5,0.0892,0.1001,0.9403
tr45,EM,20,0.99,0.6,3,0.7,0.0927,0.1054,0.9403
tr45,EM,20,0.99,0.6,3,0.9,0.0957,0.1136,0.9403
tr45,EM,20,0.99,0.7,1,0.1,0.1292,0.1404,0.9552
tr45,EM,20,0.99,0.7,1,0.3,0.1324,0.1446,0.9552
tr45,EM,20,0.99,0.7,1,0.5,0.1267,0.1487,0.9552
tr45,EM,20,0.99,0.7,1,0.7,0.1336,0.1501,0.9552
tr45,EM,20,0.99,0.7,1,0.9,0.1325,0.1514,0.9552
tr45,EM,20,0.99,0.7,2,0.1,0.0899,0.1075,0.9422
tr45,EM,20,0.99,0.7,2,0.3,0.0925,0.1107,0.9422
tr45,EM,20,0.99,0.7,2,0.5,0.0952,0.1137,0.9422
tr45,EM,20,0.99,0.7,2,0.7,0.1036,0.1118,0.9422
tr45,EM,20,0.99,0.7,2,0.9,0.1055,0.1163,0.9422
tr45,EM,20,0.99,0.7,3,0.1,0.0825,0.0987,0.9381
tr45,EM,20,0.99,0.7,3,0.3,0.0846,0.0968,0.9381
tr45,EM,20,0.99,0.7,3,0.5,0.0910,0.1022,0.9381
tr45,EM,20,0.99,0.7,3,0.7,0.0955,0.1095,0.9381
tr45,EM,20,0.99,0.7,3,0.9,0.0967,0.1143,0.9381
tr45,EM,20,0.99,0.8,1,0.1,0.1408,0.1313,0.9579
tr45,EM,20,0.99,0.8,1,0.3,0.1394,0.1342,0.9579
tr45,EM,20,0.99,0.8,1,0.5,0.1395,0.1387,0.9579
tr45,EM,20,0.99,0.8,1,0.7,0.1465,0.1323,0.9579
tr45,EM,20,0.99,0.8,1,0.9,0.1500,0.1347,0.9579
tr45,EM,20,0.99,0.8,2,0.1,0.0980,0.1081,0.9418
tr45,EM,20,0.99,0.8,2,0.3,0.1015,0.1144,0.9418
tr45,EM,20,0.99,0.8,2,0.5,0.1030,0.1172,0.9418
tr45,EM,20,0.99,0.8,2,0.7,0.1085,0.1146,0.9418
tr45,EM,20,0.99,0.8,2,0.9,0.1096,0.1181,0.9418
tr45,EM,20,0.99,0.8,3,0.1,0.0862,0.1031,0.9390
tr45,EM,20,0.99,0.8,3,0.3,0.0893,0.1096,0.9390
tr45,EM,20,0.99,0.8,3,0.5,0.0977,0.1149,0.9390
tr45,EM,20,0.99,0.8,3,0.7,0.1049,0.1158,0.9390
tr45,EM,20,0.99,0.8,3,0.9,0.1051,0.1172,0.9390
tr45,EM,30,0.99,0.6,1,0.1,0.1466,0.1477,0.9652
tr45,EM,30,0.99,0.6,1,0.3,0.1507,0.1534,0.9652
tr45,EM,30,0.99,0.6,1,0.5,0.1539,0.1579,0.9652
tr45,EM,30,0.99,0.6,1,0.7,0.1579,0.1610,0.9652
tr45,EM,30,0.99,0.6,1,0.9,0.1565,0.1619,0.9652
tr45,EM,30,0.99,0.6,2,0.1,0.1309,0.1440,0.9580
tr45,EM,30,0.99,0.6,2,0.3,0.1362,0.1500,0.9580
tr45,EM,30,0.99,0.6,2,0.5,0.1426,0.1566,0.9580
tr45,EM,30,0.99,0.6,2,0.7,0.1480,0.1590,0.9580
tr45,EM,30,0.99,0.6,2,0.9,0.1500,0.1601,0.9580
tr45,EM,30,0.99,0.6,3,0.1,0.1287,0.1351,0.9570
tr45,EM,30,0.99,0.6,3,0.3,0.1307,0.1453,0.9570
tr45,EM,30,0.99,0.6,3,0.5,0.1417,0.1541,0.9570
tr45,EM,30,0.99,0.6,3,0.7,0.1460,0.1605,0.9570
tr45,EM,30,0.99,0.6,3,0.9,0.1486,0.1615,0.9570
tr45,EM,30,0.99,0.7,1,0.1,0.1597,0.1480,0.9700
tr45,EM,30,0.99,0.7,1,0.3,0.1642,0.1542,0.9700
tr45,EM,30,0.99,0.7,1,0.5,0.1712,0.1635,0.9700
tr45,EM,30,0.99,0.7,1,0.7,0.1724,0.1621,0.9700
tr45,EM,30,0.99,0.7,1,0.9,0.1731,0.1629,0.9700
tr45,EM,30,0.99,0.7,2,0.1,0.1338,0.1441,0.9592
tr45,EM,30,0.99,0.7,2,0.3,0.1405,0.1518,0.9592
tr45,EM,30,0.99,0.7,2,0.5,0.1465,0.1596,0.9592
tr45,EM,30,0.99,0.7,2,0.7,0.1508,0.1613,0.9592
tr45,EM,30,0.99,0.7,2,0.9,0.1532,0.1615,0.9592
tr45,EM,30,0.99,0.7,3,0.1,0.1191,0.1161,0.9576
tr45,EM,30,0.99,0.7,3,0.3,0.1274,0.1248,0.9576
tr45,EM,30,0.99,0.7,3,0.5,0.1349,0.1352,0.9576
tr45,EM,30,0.99,0.7,3,0.7,0.1384,0.1402,0.9576
tr45,EM,30,0.99,0.7,3,0.9,0.1407,0.1416,0.9576
tr45,EM,30,0.99,0.8,1,0.1,0.1640,0.1358,0.9699
tr45,EM,30,0.99,0.8,1,0.3,0.1664,0.1398,0.9699
tr45,EM,30,0.99,0.8,1,0.5,0.1725,0.1503,0.9699
tr45,EM,30,0.99,0.8,1,0.7,0.1688,0.1465,0.9699
tr45,EM,30,0.99,0.8,1,0.9,0.1662,0.1458,0.9699
tr45,EM,30,0.99,0.8,2,0.1,0.1372,0.1405,0.9592
tr45,EM,30,0.99,0.8,2,0.3,0.1398,0.1496,0.9592
tr45,EM,30,0.99,0.8,2,0.5,0.1433,0.1561,0.9592
tr45,EM,30,0.99,0.8,2,0.7,0.1465,0.1565,0.9592
tr45,EM,30,0.99,0.8,2,0.9,0.1499,0.1567,0.9592
tr45,EM,30,0.99,0.8,3,0.1,0.1295,0.1429,0.9579
tr45,EM,30,0.99,0.8,3,0.3,0.1383,0.1524,0.9579
tr45,EM,30,0.99,0.8,3,0.5,0.1443,0.1603,0.9579
tr45,EM,30,0.99,0.8,3,0.7,0.1484,0.1613,0.9579
tr45,EM,30,0.99,0.8,3,0.9,0.1482,0.1586,0.9579
tr45,NB,1,0.99,0.6,1,0.1,0.0103,0.0283,0.9017
tr45,NB,1,0.99,0.6,2,0.1,0.0114,0.0274,0.9014
tr45,NB,1,0.99,0.6,3,0.1,0.0174,0.0291,0.9014
tr45,NB,1,0.99,0.7,1,0.1,0.0099,0.0188,0.9014
tr45,NB,1,0.99,0.7,2,0.1,0.0100,0.0204,0.9018
tr45,NB,1,0.99,0.7,3,0.1,0.0169,0.0295,0.9016
tr45,NB,1,0.99,0.8,1,0.1,0.0219,0.0278,0.9018
tr45,NB,1,0.99,0.8,2,0.1,0.0104,0.0221,0.9018
tr45,NB,1,0.99,0.8,3,0.1,0.0124,0.0278,0.9015
tr45,NB,5,0.99,0.6,1,0.1,0.0127,0.0291,0.9186
tr45,NB,5,0.99,0.6,2,0.1,0.0142,0.0281,0.9151
tr45,NB,5,0.99,0.6,3,0.1,0.0221,0.0330,0.9157
tr45,NB,5,0.99,0.7,1,0.1,0.0115,0.0197,0.9190
tr45,NB,5,0.99,0.7,2,0.1,0.0153,0.0266,0.9142
tr45,NB,5,0.99,0.7,3,0.1,0.0256,0.0358,0.9164
tr45,NB,5,0.99,0.8,1,0.1,0.0228,0.0275,0.9231
tr45,NB,5,0.99,0.8,2,0.1,0.0192,0.0304,0.9139
tr45,NB,5,0.99,0.8,3,0.1,0.0190,0.0334,0.9148
tr45,NB,10,0.99,0.6,1,0.1,0.0275,0.0388,0.9346
tr45,NB,10,0.99,0.6,2,0.1,0.0216,0.0350,0.9288
tr45,NB,10,0.99,0.6,3,0.1,0.0318,0.0424,0.9281
tr45,NB,10,0.99,0.7,1,0.1,0.0239,0.0358,0.9356
tr45,NB,10,0.99,0.7,2,0.1,0.0302,0.0474,0.9292
tr45,NB,10,0.99,0.7,3,0.1,0.0337,0.0457,0.9301
tr45,NB,10,0.99,0.8,1,0.1,0.0367,0.0407,0.9407
tr45,NB,10,0.99,0.8,2,0.1,0.0306,0.0464,0.9295
tr45,NB,10,0.99,0.8,3,0.1,0.0268,0.0452,0.9289
tr45,NB,20,0.99,0.6,1,0.1,0.0741,0.0662,0.9516
tr45,NB,20,0.99,0.6,2,0.1,0.0570,0.0596,0.9411
tr45,NB,20,0.99,0.6,3,0.1,0.0606,0.0695,0.9403
tr45,NB,20,0.99,0.7,1,0.1,0.0652,0.0612,0.9552
tr45,NB,20,0.99,0.7,2,0.1,0.0605,0.0577,0.9422
tr45,NB,20,0.99,0.7,3,0.1,0.0524,0.0536,0.9381
tr45,NB,20,0.99,0.8,1,0.1,0.0740,0.0602,0.9579
tr45,NB,20,0.99,0.8,2,0.1,0.0599,0.0521,0.9418
tr45,NB,20,0.99,0.8,3,0.1,0.0600,0.0602,0.9390
tr45,NB,30,0.99,0.6,1,0.1,0.0994,0.0978,0.9652
tr45,NB,30,0.99,0.6,2,0.1,0.0864,0.0951,0.9580
tr45,NB,30,0.99,0.6,3,0.1,0.0855,0.0988,0.9570
tr45,NB,30,0.99,0.7,1,0.1,0.0985,0.0966,0.9700
tr45,NB,30,0.99,0.7,2,0.1,0.0871,0.0979,0.9592
tr45,NB,30,0.99,0.7,3,0.1,0.0851,0.0897,0.9576
tr45,NB,30,0.99,0.8,1,0.1,0.0977,0.0837,0.9699
tr45,NB,30,0.99,0.8,2,0.1,0.0891,0.0970,0.9592
tr45,NB,30,0.99,0.8,3,0.1,0.0866,0.0980,0.9579
CSTR,EM,1,0.99,0.6,1,0.1,0.0655,0.1021,0.7545
CSTR,EM,1,0.99,0.6,1,0.3,0.0892,0.1156,0.7545
CSTR,EM,1,0.99,0.6,1,0.5,0.1268,0.1591,0.7545
CSTR,EM,1,0.99,0.6,1,0.7,0.1394,0.1695,0.7545
CSTR,EM,1,0.99,0.6,1,0.9,0.1638,0.1890,0.7545
CSTR,EM,1,0.99,0.6,2,0.1,0.0701,0.1058,0.7546
CSTR,EM,1,0.99,0.6,2,0.3,0.0826,0.1116,0.7546
CSTR,EM,1,0.99,0.6,2,0.5,0.1109,0.1514,0.7546
CSTR,EM,1,0.99,0.6,2,0.7,0.1370,0.1692,0.7546
CSTR,EM,1,0.99,0.6,2,0.9,0.1428,0.1726,0.7546
CSTR,EM,1,0.99,0.6,3,0.1,0.0587,0.1006,0.7541
CSTR,EM,1,0.99,0.6,3,0.3,0.0755,0.1074,0.7541
CSTR,EM,1,0.99,0.6,3,0.5,0.1100,0.1466,0.7541
CSTR,EM,1,0.99,0.6,3,0.7,0.1243,0.1567,0.7541
CSTR,EM,1,0.99,0.6,3,0.9,0.1290,0.1563,0.7541
CSTR,EM,1,0.99,0.7,1,0.1,0.0648,0.1014,0.7544
CSTR,EM,1,0.99,0.7,1,0.3,0.0867,0.1140,0.7544
CSTR,EM,1,0.99,0.7,1,0.5,0.1159,0.1439,0.7544
CSTR,EM,1,0.99,0.7,1,0.7,0.1373,0.1671,0.7544
CSTR,EM,1,0.99,0.7,1,0.9,0.1603,0.1847,0.7544
CSTR,EM,1,0.99,0.7,2,0.1,0.0694,0.1076,0.7546
CSTR,EM,1,0.99,0.7,2,0.3,0.0821,0.1131,0.7546
CSTR,EM,1,0.99,0.7,2,0.5,0.1140,0.1529,0.7546
CSTR,EM,1,0.99,0.7,2,0.7,0.1380,0.1651,0.7546
CSTR,EM,1,0.99,0.7,2,0.9,0.1436,0.1698,0.7546
CSTR,EM,1,0.99,0.7,3,0.1,0.0609,0.1043,0.7543
CSTR,EM,1,0.99,0.7,3,0.3,0.0779,0.1119,0.7543
CSTR,EM,1,0.99,0.7,3,0.5,0.1108,0.1469,0.7543
CSTR,EM,1,0.99,0.7,3,0.7,0.1266,0.1558,0.7543
CSTR,EM,1,0.99,0.7,3,0.9,0.1327,0.1619,0.7543
CSTR,EM,1,0.99,0.8,1,0.1,0.0742,0.1071,0.7544
CSTR,EM,1,0.99,0.8,1,0.3,0.0932,0.1263,0.7544
CSTR,EM,1,0.99,0.8,1,0.5,0.1199,0.1481,0.7544
CSTR,EM,1,0.99,0.8,1,0.7,0.1430,0.1773,0.7544
CSTR,EM,1,0.99,0.8,1,0.9,0.1466,0.1807,0.7544
CSTR,EM,1,0.99,0.8,2,0.1,0.0692,0.1082,0.7546
CSTR,EM,1,0.99,0.8,2,0.3,0.0812,0.1131,0.7546
CSTR,EM,1,0.99,0.8,2,0.5,0.1113,0.1411,0.7546
CSTR,EM,1,0.99,0.8,2,0.7,0.1233,0.1468,0.7546
CSTR,EM,1,0.99,0.8,2,0.9,0.1347,0.1560,0.7546
CSTR,EM,1,0.99,0.8,3,0.1,0.0697,0.1084,0.7548
CSTR,EM,1,0.99,0.8,3,0.3,0.0835,0.1149,0.7548
CSTR,EM,1,0.99,0.8,3,0.5,0.1116,0.1445,0.7548
CSTR,EM,1,0.99,0.8,3,0.7,0.1297,0.1568,0.7548
CSTR,EM,1,0.99,0.8,3,0.9,0.1390,0.1634,0.7548
CSTR,EM,5,0.99,0.6,1,0.1,0.3027,0.2721,0.7780
CSTR,EM,5,0.99,0.6,1,0.3,0.3678,0.2975,0.7780
CSTR,EM,5,0.99,0.6,1,0.5,0.4265,0.3047,0.7780
CSTR,EM,5,0.99,0.6,1,0.7,0.4481,0.2962,0.7780
CSTR,EM,5,0.99,0.6,1,0.9,0.4516,0.2976,0.7780
CSTR,EM,5,0.99,0.6,2,0.1,0.3127,0.2890,0.7825
CSTR,EM,5,0.99,0.6,2,0.3,0.3808,0.3083,0.7825
CSTR,EM,5,0.99,0.6,2,0.5,0.4275,0.3161,0.7825
CSTR,EM,5,0.99,0.6,2,0.7,0.4547,0.3099,0.7825
CSTR,EM,5,0.99,0.6,2,0.9,0.4522,0.3036,0.7825
CSTR,EM,5,0.99,0.6,3,0.1,0.3311,0.3003,0.7833
CSTR,EM,5,0.99,0.6,3,0.3,0.3920,0.3120,0.7833
CSTR,EM,5,0.99,0.6,3,0.5,0.4381,0.3247,0.7833
CSTR,EM,5,0.99,0.6,3,0.7,0.4671,0.3202,0.7833
CSTR,EM,5,0.99,0.6,3,0.9,0.4522,0.3114,0.7833
CSTR,EM,5,0.99,0.7,1,0.1,0.3021,0.2667,0.7770
CSTR,EM,5,0.99,0.7,1,0.3,0.3740,0.2918,0.7770
CSTR,EM,5,0.99,0.7,1,0.5,0.4300,0.2973,0.7770
CSTR,EM,5,0.99,0.7,1,0.7,0.4555,0.3017,0.7770
CSTR,EM,5,0.99,0.7,1,0.9,0.4546,0.3048,0.7770
CSTR,EM,5,0.99,0.7,2,0.1,0.3133,0.2870,0.7824
CSTR,EM,5,0.99,0.7,2,0.3,0.3839,0.3048,0.7824
CSTR,EM,5,0.99,0.7,2,0.5,0.4339,0.3099,0.7824
CSTR,EM,5,0.99,0.7,2,0.7,0.4579,0.3031,0.7824
CSTR,EM,5,0.99,0.7,2,0.9,0.4583,0.3084,0.7824
CSTR,EM,5,0.99,0.7,3,0.1,0.3325,0.3013,0.7839
CSTR,EM,5,0.99,0.7,3,0.3,0.3912,0.3134,0.7839
CSTR,EM,5,0.99,0.7,3,0.5,0.4227,0.3193,0.7839
CSTR,EM,5,0.99,0.7,3,0.7,0.4395,0.3223,0.7839
CSTR,EM,5,0.99,0.7,3,0.9,0.4333,0.3111,0.7839
CSTR,EM,5,0.99,0.8,1,0.1,0.3021,0.2529,0.7770
CSTR,EM,5,0.99,0.8,1,0.3,0.3761,0.2730,0.7770
CSTR,EM,5,0.99,0.8,1,0.5,0.4310,0.2685,0.7770
CSTR,EM,5,0.99,0.8,1,0.7,0.4546,0.2710,0.7770
CSTR,EM,5,0.99,0.8,1,0.9,0.4776,0.2722,0.7770
CSTR,EM,5,0.99,0.8,2,0.1,0.3242,0.2849,0.7821
CSTR,EM,5,0.99,0.8,2,0.3,0.3807,0.2899,0.7821
CSTR,EM,5,0.99,0.8,2,0.5,0.4193,0.2945,0.7821
CSTR,EM,5,0.99,0.8,2,0.7,0.4360,0.2876,0.7821
CSTR,EM,5,0.99,0.8,2,0.9,0.4498,0.2977,0.7821
CSTR,EM,5,0.99,0.8,3,0.1,0.3360,0.2960,0.7842
CSTR,EM,5,0.99,0.8,3,0.3,0.3898,0.3170,0.7842
CSTR,EM,5,0.99,0.8,3,0.5,0.4141,0.3111,0.7842
CSTR,EM,5,0.99,0.8,3,0.7,0.4404,0.3128,0.7842
CSTR,EM,5,0.99,0.8,3,0.9,0.4394,0.3105,0.7842
CSTR,EM,10,0.99,0.6,1,0.1,0.4762,0.3493,0.8043
CSTR,EM,10,0.99,0.6,1,0.3,0.5220,0.3295,0.8043
CSTR,EM,10,0.99,0.6,1,0.5,0.5452,0.3140,0.8043
CSTR,EM,10,0.99,0.6,1,0.7,0.5645,0.3162,0.8043
CSTR,EM,10,0.99,0.6,1,0.9,0.5692,0.3087,0.8043
CSTR,EM,10,0.99,0.6,2,0.1,0.4773,0.3491,0.8059
CSTR,EM,10,0.99,0.6,2,0.3,0.5320,0.3323,0.8059
CSTR,EM,10,0.99,0.6,2,0.5,0.5523,0.3224,0.8059
CSTR,EM,10,0.99,0.6,2,0.7,0.5606,0.3159,0.8059
CSTR,EM,10,0.99,0.6,2,0.9,0.5675,0.3097,0.8059
CSTR,EM,10,0.99,0.6,3,0.1,0.4895,0.3525,0.8069
CSTR,EM,10,0.99,0.6,3,0.3,0.5292,0.3366,0.8069
CSTR,EM,10,0.99,0.6,3,0.5,0.5524,0.3289,0.8069
CSTR,EM,10,0.99,0.6,3,0.7,0.5624,0.3277,0.8069
CSTR,EM,10,0.99,0.6,3,0.9,0.5677,0.3217,0.8069
CSTR,EM,10,0.99,0.7,1,0.1,0.4776,0.3456,0.8040
CSTR,EM,10,0.99,0.7,1,0.3,0.5253,0.3239,0.8040
CSTR,EM,10,0.99,0.7,1,0.5,0.5450,0.3133,0.8040
CSTR,EM,10,0.99,0.7,1,0.7,0.5594,0.3143,0.8040
CSTR,EM,10,0.99,0.7,1,0.9,0.5652,0.3110,0.8040
CSTR,EM,10,0.99,0.7,2,0.1,0.4869,0.3442,0.8074
CSTR,EM,10,0.99,0.7,2,0.3,0.5363,0.3283,0.8074
CSTR,EM,10,0.99,0.7,2,0.5,0.5626,0.3163,0.8074
CSTR,EM,10,0.99,0.7,2,0.7,0.5696,0.3127,0.8074
CSTR,EM,10,0.99,0.7,2,0.9,0.5805,0.3043,0.8074
CSTR,EM,10,0.99,0.7,3,0.1,0.4933,0.3504,0.8075
CSTR,EM,10,0.99,0.7,3,0.3,0.5323,0.3318,0.8075
CSTR,EM,10,0.99,0.7,3,0.5,0.5662,0.3258,0.8075
CSTR,EM,10,0.99,0.7,3,0.7,0.5740,0.3228,0.8075
CSTR,EM,10,0.99,0.7,3,0.9,0.5763,0.3095,0.8075
CSTR,EM,10,0.99,0.8,1,0.1,0.4818,0.3328,0.8038
CSTR,EM,10,0.99,0.8,1,0.3,0.5390,0.3160,0.8038
CSTR,EM,10,0.99,0.8,1,0.5,0.5593,0.3039,0.8038
CSTR,EM,10,0.99,0.8,1,0.7,0.5737,0.2953,0.8038
CSTR,EM,10,0.99,0.8,1,0.9,0.5853,0.2906,0.8038
CSTR,EM,10,0.99,0.8,2,0.1,0.4928,0.3421,0.8079
