Text Collection,# of Positive Labeled Documents,k,One Class Learning Threshold,F1 Score
CSTR,10,19,average+2sigma,0.0085
CSTR,10,19,average+3sigma,0.0081
CSTR,10,19,average-1sigma,0.0261
CSTR,10,19,average-2sigma,0.0384
CSTR,10,19,average-3sigma,0.0678
CSTR,10,19,average,0.0149
CSTR,10,19,minimum,0.1484
CSTR,10,1,0.05,0.4552
CSTR,10,1,0.10,0.6057
CSTR,10,1,0.15,0.5948
CSTR,10,1,0.20,0.5074
CSTR,10,1,0.25,0.4451
CSTR,10,1,0.30,0.3547
CSTR,10,1,0.35,0.2714
CSTR,10,1,0.40,0.1854
CSTR,10,1,0.45,0.1327
CSTR,10,1,0.50,0.1122
CSTR,10,1,0.55,0.0710
CSTR,10,1,0.60,0.0275
CSTR,10,1,0.65,0.0230
CSTR,10,1,0.70,0.0151
CSTR,10,1,0.75,0.0095
CSTR,10,1,0.80,0.0095
CSTR,10,1,0.85,0.0095
CSTR,10,1,0.90,0.0014
CSTR,10,1,0.95,0.0014
CSTR,10,1,average+1sigma,0.0000
CSTR,10,1,average+2sigma,0.0000
CSTR,10,1,average+3sigma,0.0000
CSTR,10,1,average-1sigma,0.0000
CSTR,10,1,average-2sigma,0.0000
CSTR,10,1,average-3sigma,0.0000
CSTR,10,1,average,0.0000
CSTR,10,1,minimum,0.0000
CSTR,10,3,0.05,0.5348
CSTR,10,3,0.10,0.6487
CSTR,10,3,0.15,0.4989
CSTR,10,3,0.20,0.3450
CSTR,10,3,0.25,0.2232
CSTR,10,3,0.30,0.1106
CSTR,10,3,0.35,0.0550
CSTR,10,3,0.40,0.0282
CSTR,10,3,0.45,0.0041
CSTR,10,3,0.50,0.0027
CSTR,10,3,0.55,0.0000
CSTR,10,3,0.60,0.0000
CSTR,10,3,0.65,0.0000
CSTR,10,3,0.70,0.0000
CSTR,10,3,0.75,0.0000
CSTR,10,3,0.80,0.0000
CSTR,10,3,0.85,0.0000
CSTR,10,3,0.90,0.0000
CSTR,10,3,0.95,0.0000
CSTR,10,3,average+1sigma,0.0031
CSTR,10,3,average+2sigma,0.0031
CSTR,10,3,average+3sigma,0.0018
CSTR,10,3,average-1sigma,0.0053
CSTR,10,3,average-2sigma,0.0053
CSTR,10,3,average-3sigma,0.0175
CSTR,10,3,average,0.0036
CSTR,10,3,minimum,0.0439
CSTR,10,5,0.05,0.6132
CSTR,10,5,0.10,0.5740
CSTR,10,5,0.15,0.3512
CSTR,10,5,0.20,0.1827
CSTR,10,5,0.25,0.0717
CSTR,10,5,0.30,0.0249
CSTR,10,5,0.35,0.0090
CSTR,10,5,0.40,0.0014
CSTR,10,5,0.45,0.0000
CSTR,10,5,0.50,0.0000
