Text Collection,Graph Constructor Algorithm,Graph Parameter k,# of Positive Labeled Documents,α,λ (|D+'| = λ x |D+|),# of iterations (m),F1 Score,Standard Deviation,Negative Precision
tr21,kNN,3,5,0.1,0.2,2,0.2879,0.1297,0.8000
tr21,kNN,3,5,0.1,0.2,3,0.2879,0.1297,0.8000
tr21,kNN,3,5,0.1,0.6,1,0.2660,0.1243,0.8000
tr21,kNN,3,5,0.1,0.6,2,0.2742,0.1248,0.8000
tr21,kNN,3,5,0.1,0.6,3,0.2879,0.1297,0.8000
tr21,kNN,3,5,0.1,0.8,1,0.2580,0.1304,0.8000
tr21,kNN,3,5,0.1,0.8,2,0.2579,0.1346,0.8000
tr21,kNN,3,5,0.1,0.8,3,0.2659,0.1328,0.8000
tr21,kNN,3,5,0.1,1,1,0.2492,0.1311,0.8000
tr21,kNN,3,5,0.1,1,2,0.2579,0.1346,0.8000
tr21,kNN,3,5,0.1,1,3,0.2659,0.1328,0.8000
tr21,kNN,3,5,0.1,1.2,1,0.2497,0.1315,0.8000
tr21,kNN,3,5,0.1,1.2,2,0.2526,0.1315,0.8000
tr21,kNN,3,5,0.1,1.2,3,0.2659,0.1328,0.8000
tr21,kNN,3,5,0.1,1.4,1,0.2477,0.1327,0.8000
tr21,kNN,3,5,0.1,1.4,2,0.2526,0.1315,0.8000
tr21,kNN,3,5,0.1,1.4,3,0.2529,0.1349,0.8000
tr21,kNN,3,5,0.1,2,1,0.2517,0.1352,0.8000
tr21,kNN,3,5,0.1,2,2,0.2472,0.1337,0.8000
tr21,kNN,3,5,0.1,2,3,0.2505,0.1308,0.8000
tr21,kNN,3,5,0.08,0.2,1,0.2511,0.2863,0.8600
tr21,kNN,3,5,0.08,0.2,2,0.2511,0.2867,0.8720
tr21,kNN,3,5,0.08,0.2,3,0.2511,0.2867,0.8720
tr21,kNN,3,5,0.08,0.6,1,0.2547,0.2865,0.8450
tr21,kNN,3,5,0.08,0.6,2,0.2513,0.2863,0.8514
tr21,kNN,3,5,0.08,0.6,3,0.2511,0.2867,0.8720
tr21,kNN,3,5,0.08,0.8,1,0.2538,0.2860,0.8422
