Text Collection,Graph Constructor Algorithm,Graph Parameter (k or ε),# of Positive Labeled Documents (D+),Label Propagation Algorithm,"Extracted Negatives Docs (num_neg = {1,2,5,10} x |D+|)",LLGC parameter (α),F1 Score,Standard Deviation,Negative Precision
CSTR,MkNN,7,30,LLGC,x10,0.3,0.0000,0.0000,0.7720
CSTR,MkNN,7,30,LLGC,x10,0.5,0.0000,0.0000,0.7720
CSTR,MkNN,7,30,LLGC,x10,0.7,0.0473,0.0979,0.7720
CSTR,MkNN,7,30,LLGC,x10,0.9,0.1201,0.1944,0.7720
CSTR,MkNN,11,1,LLGC,x1,0.1,0.4450,0.1739,0.7500
CSTR,MkNN,11,1,LLGC,x1,0.3,0.4490,0.1771,0.7500
CSTR,MkNN,11,1,LLGC,x1,0.5,0.4512,0.1806,0.7500
CSTR,MkNN,11,1,LLGC,x1,0.7,0.4482,0.1804,0.7500
CSTR,MkNN,11,1,LLGC,x1,0.9,0.4349,0.1758,0.7500
CSTR,MkNN,11,1,LLGC,x2,0.1,0.4874,0.1715,0.8000
CSTR,MkNN,11,1,LLGC,x2,0.3,0.4927,0.1743,0.8000
CSTR,MkNN,11,1,LLGC,x2,0.5,0.4995,0.1786,0.8000
CSTR,MkNN,11,1,LLGC,x2,0.7,0.5065,0.1845,0.8000
CSTR,MkNN,11,1,LLGC,x2,0.9,0.5211,0.1941,0.8000
CSTR,MkNN,11,1,LLGC,x5,0.1,0.5340,0.1629,0.8900
CSTR,MkNN,11,1,LLGC,x5,0.3,0.5377,0.1602,0.8900
CSTR,MkNN,11,1,LLGC,x5,0.5,0.5435,0.1550,0.8900
CSTR,MkNN,11,1,LLGC,x5,0.7,0.5550,0.1457,0.8900
CSTR,MkNN,11,1,LLGC,x5,0.9,0.5732,0.1434,0.8900
CSTR,MkNN,11,1,LLGC,x10,0.1,0.5392,0.1450,0.9175
CSTR,MkNN,11,1,LLGC,x10,0.3,0.5426,0.1423,0.9175
CSTR,MkNN,11,1,LLGC,x10,0.5,0.5445,0.1361,0.9175
CSTR,MkNN,11,1,LLGC,x10,0.7,0.5471,0.1386,0.9175
CSTR,MkNN,11,1,LLGC,x10,0.9,0.4886,0.2273,0.9175
CSTR,MkNN,11,5,LLGC,x1,0.1,0.4658,0.1750,0.9400
CSTR,MkNN,11,5,LLGC,x1,0.3,0.4663,0.1762,0.9400
CSTR,MkNN,11,5,LLGC,x1,0.5,0.4671,0.1780,0.9400
CSTR,MkNN,11,5,LLGC,x1,0.7,0.4686,0.1801,0.9400
CSTR,MkNN,11,5,LLGC,x1,0.9,0.4662,0.1867,0.9400
CSTR,MkNN,11,5,LLGC,x2,0.1,0.5104,0.1726,0.9475
CSTR,MkNN,11,5,LLGC,x2,0.3,0.5147,0.1741,0.9475
CSTR,MkNN,11,5,LLGC,x2,0.5,0.5196,0.1758,0.9475
CSTR,MkNN,11,5,LLGC,x2,0.7,0.5269,0.1803,0.9475
CSTR,MkNN,11,5,LLGC,x2,0.9,0.5493,0.2000,0.9475
CSTR,MkNN,11,5,LLGC,x5,0.1,0.5610,0.1559,0.9520
CSTR,MkNN,11,5,LLGC,x5,0.3,0.5681,0.1550,0.9520
CSTR,MkNN,11,5,LLGC,x5,0.5,0.5794,0.1504,0.9520
CSTR,MkNN,11,5,LLGC,x5,0.7,0.6024,0.1466,0.9520
CSTR,MkNN,11,5,LLGC,x5,0.9,0.6569,0.1195,0.9520
